epoch   0 | lr 0.000100 |lr_p 0.000100 | batch    750 | examples/s:  31.7 | loss: 0.15094 | time elapsed: 00h03m54s | time left: 41h34m28s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   1000 | examples/s:  32.3 | loss: 0.12966 | time elapsed: 00h04m56s | time left: 39h26m25s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   1250 | examples/s:  36.7 | loss: 0.12283 | time elapsed: 00h05m58s | time left: 38h09m18s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   1500 | examples/s:  40.8 | loss: 0.13852 | time elapsed: 00h07m01s | time left: 37h19m05s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   1750 | examples/s:  33.9 | loss: 0.10693 | time elapsed: 00h08m04s | time left: 36h44m00s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   2000 | examples/s:  32.0 | loss: 0.09594 | time elapsed: 00h09m19s | time left: 37h09m00s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   2250 | examples/s:  27.6 | loss: 0.11136 | time elapsed: 00h10m34s | time left: 37h24m58s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   2500 | examples/s:  21.3 | loss: 0.09732 | time elapsed: 00h11m44s | time left: 37h20m26s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   2750 | examples/s:  35.4 | loss: 0.10146 | time elapsed: 00h12m47s | time left: 36h59m40s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   3000 | examples/s:  25.8 | loss: 0.12772 | time elapsed: 00h13m51s | time left: 36h42m45s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   3250 | examples/s:  27.3 | loss: 0.09170 | time elapsed: 00h14m56s | time left: 36h29m20s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   3500 | examples/s:  44.4 | loss: 0.12325 | time elapsed: 00h15m59s | time left: 36h14m41s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   3750 | examples/s:  35.2 | loss: 0.10910 | time elapsed: 00h17m25s | time left: 36h51m04s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   4000 | examples/s:  34.8 | loss: 0.10859 | time elapsed: 00h18m32s | time left: 36h44m07s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   4250 | examples/s:  27.6 | loss: 0.11710 | time elapsed: 00h19m36s | time left: 36h32m56s
